# 商品在庫管理システム開発依頼

## 概要
商品の在庫数を管理し、在庫レベルに応じて適切なアクションメッセージを表示するワークフローを作成してください。

## 要件定義

### 機能要件
1. ユーザーが商品名と在庫数を入力できること
2. 入力された在庫数に基づいて、以下の3段階で分岐処理を行うこと：
   - 在庫数が10個以下：緊急発注が必要（赤色警告メッセージ）
   - 在庫数が11～30個：通常発注を検討（黄色注意メッセージ）
   - 在庫数が31個以上：在庫十分（緑色安全メッセージ）

### 技術要件
- advanced-chatモードで実装すること
- IF_ELSEノードの連鎖で条件分岐を実装すること（Codeノードは使用禁止）
- 各メッセージは色付きで表示すること（赤、黄、緑）

## 詳細仕様

### 入力フィールド
1. 商品名（テキスト入力）
2. 在庫数（数値入力）

### 処理フロー
1. ユーザーが商品名と在庫数を入力
2. 最初のIF_ELSEノードで「在庫数 <= 10」を判定
   - True：赤色で「【緊急】{商品名}の在庫が{在庫数}個しかありません。至急発注が必要です！」を表示
   - False：次の判定へ
3. 2番目のIF_ELSEノードで「在庫数 <= 30」を判定
   - True：黄色で「【注意】{商品名}の在庫は{在庫数}個です。通常発注をご検討ください。」を表示
   - False：次の処理へ
4. 最後の処理で緑色で「【安全】{商品名}の在庫は{在庫数}個あります。在庫は十分です。」を表示

### 表示形式
- 緊急メッセージ：赤色背景または赤文字
- 注意メッセージ：黄色背景または黄文字
- 安全メッセージ：緑色背景または緑文字

## 実装上の注意点
- IF_ELSEノードを連鎖させて実装すること
- 各分岐の条件式は明確に記述すること
- メッセージ内に商品名と在庫数を動的に埋め込むこと
- エラーハンドリング（数値以外の入力など）も考慮すること

## 期待される動作例
- 入力：商品名「ノートPC」、在庫数「5」
  → 出力：【緊急】ノートPCの在庫が5個しかありません。至急発注が必要です！（赤色）
- 入力：商品名「マウス」、在庫数「25」
  → 出力：【注意】マウスの在庫は25個です。通常発注をご検討ください。（黄色）
- 入力：商品名「キーボード」、在庫数「50」
  → 出力：【安全】キーボードの在庫は50個あります。在庫は十分です。（緑色）
